Date,LF98TRUU Index  (R4),I17660US Index  (R2),BEHGTRUU Index  (L2),BEBGTRUU Index  (L3),BEBGOAS Index  (L1),BEHGOAS Index  (R1),LF98OAS Index  (L1),BLQCOAS Index  (R1),USYC2Y10 Index  (R3)
,US High Yied,US Investment Grade,Emerging Investment Grade,Emerging High Yield,Emerging High Yield OAS,Emerging Investment Grade OAS,US High Yield OAS,US Investment Grade OAS,US 10 Year -2 Year Gov Spread
2/4/2020,2188.97,204.39,526.844,1409.382,6.39,1.36,3.72,1.1,18.4134
2/3/2020,2184.9099,205.32,528.2544,1405.61,6.55,1.4,3.83,1.13,16.8204
1/31/2020,2183.3501,205.17,528.2468,1404.689,6.53,1.4,3.9,1.13,18.7634
1/30/2020,2183.6799,204.89,527.2715,1403.536,6.48,1.39,3.82,1.11,16.8845
1/29/2020,2187.2,204.86,526.5925,1406.906,6.38,1.38,3.71,1.09,16.5184
1/28/2020,2185.49,204.13,525.3831,1404.801,6.33,1.36,3.71,1.09,18.9725
1/27/2020,2177.74,204.46,525.1157,1400.826,6.39,1.39,3.85,1.1,16.3051
1/24/2020,2188.95,204.1,524.37,1406.87,6.22,1.34,3.56,1.04,18.5442
1/23/2020,2193.21,203.44,523.5853,1408.391,6.14,1.32,3.4,1.04,21.672
1/22/2020,2197.1599,203.22,523.2965,1410.207,6.07,1.29,3.32,1.02,23.875
1/21/2020,2198.0801,202.97,522.9241,1409.703,6.05,1.3,3.2,1.02,23.9739
1/17/2020,2198.28,201.96,521.7468,11/10/1903,5.94,1.27,3.2,1.02,26.0172
1/16/2020,2198.26,201.99,522.0543,11/10/1903,5.97,1.28,3.19,1.05,23.9621
1/15/2020,2196.97,202.06,521.7747,11/7/1903,6.02,1.3,3.22,1.06,22.7295
1/14/2020,2195.73,201.62,520.898,11/4/1903,6.03,1.3,3.22,1.06,23.682
1/13/2020,2194.4299,201.31,520.3371,11/4/1903,5.89,1.29,3.15,1.05,25.752
1/10/2020,2192.25,201.58,520.3408,11/3/1903,6.02,1.3,3.27,1.05,24.7396
1/9/2020,2190.6899,200.83,519.7781,11/1/1903,5.97,1.3,3.31,1.06,27.2005
1/8/2020,2189.8899,200.22,519.4893,10/28/1903,6.03,1.29,3.29,1.07,28.5419
1/7/2020,2189.74,200.86,519.8331,10/27/1903,6.11,1.32,3.32,1.08,27.3325
1/6/2020,2188.45,201.22,519.6487,10/24/1903,6.16,1.34,3.29,1.07,26.2463
1/3/2020,2187.1499,201.81,519.8104,10/25/1903,6.15,1.35,3.35,1.05,25.7481
1/2/2020,2185.3301,200.83,518.5089,10/27/1903,6.04,1.31,3.31,1.03,30.6124
12/31/2019,2182.77,200.47,518.2479,10/23/1903,6.1,1.29,3.36,1.01,34.4416
12/30/2019,2182.4299,200.73,518.44,10/23/1903,6.11,1.31,3.3,1.02,30.7538
12/27/2019,2182.6299,200.96,518.5014,10/23/1903,6,1.31,3.3,1.02,29.0069
12/26/2019,2181.45,200.39,517.7055,10/20/1903,6.01,1.3,3.24,1.03,25.9439
12/24/2019,2180.3999,200.32,517.9283,10/19/1903,6.04,1.29,3.26,1.03,27.4631
12/23/2019,2180.3601,199.91,517.3531,10/17/1903,6.07,1.28,3.17,1.03,27.3012
12/20/2019,2178.6101,200.12,517.3977,10/15/1903,6.1,1.29,3.24,1.03,28.5606
12/19/2019,2177.8899,200.15,517.4388,10/13/1903,6.14,1.29,3.26,1.03,28.9518
12/18/2019,2177.1399,199.8,517.5536,10/13/1903,6.13,1.28,3.22,1.04,28.4095
12/17/2019,2172.6001,200.05,517.6997,10/9/1903,6.22,1.3,3.26,1.05,25.3614
12/16/2019,2167.95,199.94,517.0582,10/2/1903,6.31,1.31,3.26,1.06,23.8893
12/13/2019,2163.8101,200.61,517.373,9/30/1903,6.38,1.35,3.38,1.07,21.2747
12/12/2019,2159.26,199.25,515.8888,9/26/1903,6.38,1.32,3.39,1.08,22.9928
12/11/2019,2154.6699,200.53,516.7499,9/21/1903,6.54,1.38,3.53,1.11,17.1944
12/10/2019,2152.3701,199.93,515.7064,9/18/1903,6.53,1.37,3.51,1.1,18.7892
12/9/2019,2149.74,199.87,515.3267,9/17/1903,6.54,1.38,3.5,1.11,20.1946
12/6/2019,2147.5701,199.49,514.5698,9/12/1903,6.58,1.39,3.6,1.11,21.7401
