Date,USDZAR BGN Curncy  (L4),USDTWD Curncy  (R4),USDTRY Curncy  (L3),USDSGD Curncy  (L1),USDSEK Curncy  (R3),USDRUB Curncy  (R1),USDPLN Curncy  (R2),USDPEN Curncy  (R2),USDNOK Curncy  (R3),USDMYR Curncy  (R2),USDMXN Curncy  (L4),USDKRW Curncy  (R1),USDJPY Curncy  (R1),USDINR Curncy  (R1),USDILS Curncy  (R2),USDIDR Curncy  (R1),USDHUF Curncy  (R1),USDHKD Curncy  (R1),USDDKK Curncy  (L2),USDCZK Curncy  (R1),USDCOP Curncy  (R1),USDCNY Curncy  (L2),USDCLP Curncy  (R1),USDCHF Curncy  (L1),USDCAD Curncy  (L1),USDBRL Curncy  (L2),USDARS Curncy  (R1),NZDUSD Curncy  (L1),GBPUSD Curncy  (R2),EURUSD Curncy  (L1)
2/5/2020,14.784,30.12,5.9826,1.3818,9.5819,62.9364,3.8578,3.3622,9.2122,4.117,18.6189,1191.29,109.7645,71.215,3.4422,13690,306.2546,7.7633,6.793,22.803,3362.3701,6.9734,778.17,0.9733,1.3287,4.2564,60.5894,0.6473,1.2999,1.1001
2/4/2020,14.7831,30.195,5.9805,1.3704,9.589,63.0129,3.8713,3.363,9.2107,4.1105,18.6689,1187.65,109.52,71.2712,3.446,13715,304.09,7.7648,6.7662,22.7243,3361.27,6.9984,781.5,0.9692,1.3277,4.2543,60.5842,0.649,1.3031,1.1044
2/3/2020,14.8843,30.295,5.985,1.3686,9.6492,63.6779,3.8859,3.3721,9.2759,4.1135,18.8169,1194.91,108.69,71.3675,3.4455,13742,304.75,7.767,6.7568,22.7895,3396.96,7.0215,788.79,0.9659,1.3286,4.2466,60.463,0.6462,1.2995,1.106
1/31/2020,15.0282,30.241,5.9829,1.3648,9.6248,63.9613,3.874,3.3849,9.2011,4.098,18.8447,1191.74,108.35,71.355,3.4506,13655,304.1,7.7643,6.7369,22.7515,3420.5701,,800.54,0.9634,1.3237,4.2828,60.347,0.6464,1.3206,1.1093
1/30/2020,14.7648,30.271,5.9696,1.3623,9.6358,63.203,3.8923,3.3674,9.181,4.0895,18.7796,1185.17,108.96,71.49,3.4486,13657,305.61,7.7666,6.7739,22.8885,3414.8,,796.19,0.9695,1.3209,4.2475,60.2513,0.6488,1.3093,1.1032
1/29/2020,14.6167,,5.9594,1.3606,9.6199,62.542,3.8927,3.345,9.1624,4.0802,18.7029,1177.22,109.02,71.2562,3.451,13634,306.6,7.7728,6.7871,22.932,3389.1101,,791.68,0.9732,1.3199,4.226,60.2353,0.6527,1.3021,1.101
1/28/2020,14.5506,,5.9408,1.3578,9.6088,62.2452,3.8737,3.3387,9.1127,4.086,18.7225,1176.48,109.15,71.335,3.4531,13644,306.69,7.7766,6.7799,22.8874,3385.6499,,788.41,0.9731,1.3155,4.1901,60.1791,0.6546,1.3028,1.1022
1/27/2020,14.61,30.102,5.9438,1.3577,9.6239,62.979,3.8818,3.3318,9.1432,,18.9119,1176.74,108.9,71.4413,3.4609,13615,306.09,7.7767,6.7818,22.9225,3399.8,,791.24,0.9696,1.3194,4.2108,60.169,0.6548,1.3057,1.1019
1/24/2020,14.3939,30.027,5.939,1.351,9.5684,62.1648,3.862,3.3238,9.0494,4.059,18.7857,1167.48,109.28,71.3313,3.4564,13583,304.97,7.7724,6.7782,22.8556,3366.5,6.9109,777.53,0.9716,1.3143,4.1821,60.0975,0.6607,1.3073,1.1025
1/23/2020,14.4011,30.04,5.9345,1.3512,9.5324,61.9248,3.841,3.3193,8.9954,4.0695,18.7674,1168.7,109.49,71.2738,3.4553,13639,304.76,7.7723,6.7596,22.7625,3361.29,6.9426,776.45,0.9689,1.3127,4.1699,60.0828,0.6617,1.3123,1.1055
