Stock Quotes for ^GSPC,,,,Stock Quotes for ^IXIC,,,,Stock Quotes for ^DJI,,,,Stock Quotes for ^RUT,,,,Stock Quotes for ^VIX,,,,Stock Quotes for ^W5000,,
Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume,,Date,Close,Volume
2/4/2020,3297.590088,3995320000,,2/4/2020,9467.969727,2445420000,,2/4/2020,28807.63086,332750000,,2/4/2020,1656.77002,39953200,,2/4/2020,16.049999,0,,2/4/2020,33609.67969,0
2020/2/3,3248.919922,3757910000,,2020/2/3,9273.400391,2420510000,,2020/2/3,28399.81055,307910000,,2020/2/3,1632.209961,37579100,,2020/2/3,17.969999,0,,2020/2/3,33099.01953,0
2020/1/31,3225.52002,4527830000,,2020/1/31,9150.94043,2685840000,,2020/1/31,28256.0293,403890000,,2020/1/31,1614.060059,45278300,,2020/1/31,18.84,0,,2020/1/31,32838.19141,0
2020/1/30,3283.659912,3787250000,,2020/1/30,9298.929688,2333500000,,2020/1/30,28859.43945,326850000,,2020/1/30,1648.219971,37872500,,2020/1/30,15.49,0,,2020/1/30,33418.14844,0
2020/1/29,3273.399902,3584500000,,2020/1/29,9275.160156,2223480000,,2020/1/29,28734.44922,302290000,,2020/1/29,1649.219971,35845000,,2020/1/29,16.389999,0,,2020/1/29,33322.07813,0
2020/1/28,3276.23999,3526720000,,2020/1/28,9269.679688,2157830000,,2020/1/28,28722.84961,330140000,,2020/1/28,1658.310059,35267200,,2020/1/28,16.280001,0,,2020/1/28,33357.51953,0
2020/1/27,3243.629883,3823100000,,2020/1/27,9139.30957,2583330000,,2020/1/27,28535.80078,337270000,,2020/1/27,1644.140015,38231000,,2020/1/27,18.23,0,,2020/1/27,33028.76172,0
2020/1/24,3295.469971,3707130000,,2020/1/24,9314.910156,2611710000,,2020/1/24,28989.73047,380010000,,2020/1/24,1662.22998,37071300,,2020/1/24,14.56,0,,2020/1/24,33539.55859,0
2020/1/23,3325.540039,3764860000,,2020/1/23,9402.480469,2460050000,,2020/1/23,29160.08984,307060000,,2020/1/23,1685.01001,37648600,,2020/1/23,12.98,0,,2020/1/23,33862.46875,0
2020/1/22,3321.75,3619850000,,2020/1/22,9383.769531,2449390000,,2020/1/22,29186.26953,283440000,,2020/1/22,1684.459961,36198500,,2020/1/22,12.91,0,,2020/1/22,33828.62891,0
2020/1/21,3320.790039,4105340000,,2020/1/21,9370.80957,2684540000,,2020/1/21,29196.03906,320640000,,2020/1/21,1685.900024,41053400,,2020/1/21,12.85,0,,2020/1/21,33817.58984,0
2020/1/17,3329.620117,3698170000,,2020/1/17,9388.94043,2522670000,,2020/1/17,29348.09961,321820000,,2020/1/17,1699.640015,36981700,,2020/1/17,12.1,0,,2020/1/17,33917.37891,0
2020/1/16,3316.810059,3535080000,,2020/1/16,9357.129883,2301400000,,2020/1/16,29297.64063,252110000,,2020/1/16,1705.219971,35350800,,2020/1/16,12.32,0,,2020/1/16,33827.73828,0
2020/1/15,3289.290039,3716840000,,2020/1/15,9258.700195,2435650000,,2020/1/15,29030.2207,260270000,,2020/1/15,1682.400024,37168400,,2020/1/15,12.42,0,,2020/1/15,33534.14844,0
2020/1/14,3283.149902,3665130000,,2020/1/14,9251.330078,2542170000,,2020/1/14,28939.66992,287440000,,2020/1/14,1675.73999,36651300,,2020/1/14,12.39,0,,2020/1/14,33469.83984,0
2020/1/13,3288.129883,3456380000,,2020/1/13,9273.929688,2530270000,,2020/1/13,28907.05078,249830000,,2020/1/13,1669.609985,34563800,,2020/1/13,12.32,0,,2020/1/13,33487.08984,0
2020/1/10,3265.350098,3212970000,,2020/1/10,9178.860352,2378990000,,2020/1/10,28823.76953,237830000,,2020/1/10,1657.640015,32129700,,2020/1/10,12.56,0,,2020/1/10,33237.14844,0
2020/1/9,3274.699951,3638390000,,2020/1/9,9203.429688,2534700000,,2020/1/9,28956.90039,275060000,,2020/1/9,1664.98999,36383900,,2020/1/9,12.54,0,,2020/1/9,33333.21094,0
2020/1/8,3253.050049,3720890000,,2020/1/8,9129.240234,2464090000,,2020/1/8,28745.08984,291750000,,2020/1/8,1663.589966,37208900,,2020/1/8,13.45,0,,2020/1/8,33134.98828,0
2020/1/7,3237.179932,3420380000,,2020/1/7,9068.580078,2352850000,,2020/1/7,28583.67969,258900000,,2020/1/7,1658.310059,34203800,,2020/1/7,13.79,0,,2020/1/7,32988.51953,0
2020/1/6,3246.280029,3674070000,,2020/1/6,9071.469727,2788120000,,2020/1/6,28703.38086,252760000,,2020/1/6,1663.26001,36740700,,2020/1/6,13.85,0,,2020/1/6,33065.14063,0
2020/1/3,3234.850098,3461290000,,2020/1/3,9020.769531,2567400000,,2020/1/3,28634.88086,239590000,,2020/1/3,1660.869995,34612900,,2020/1/3,14.02,0,,2020/1/3,32943.32813,0
2020/1/2,3257.850098,3458250000,,2020/1/2,9092.19043,2848370000,,2020/1/2,28868.80078,251820000,,2020/1/2,1666.77002,34582500,,2020/1/2,12.47,0,,2020/1/2,33142.19922,0
2019/12/31,3230.780029,2893810000,,2019/12/31,8972.599609,2182800000,,2019/12/31,28538.43945,193340000,,2019/12/31,1668.469971,28938100,,2019/12/31,13.78,0,,2019/12/31,32886.73828,0
