Date,Corn,Coffee,Cocoa,Live Cattle,Cotton,Soybean,Sugar,Wheat,Market Volatility
20200221,377,108.85,2922.0,119.725,68.93,890.5,15.59,551,17.08
20200220,378.5,103.6,2939.0,120.1,68.75,892.75,15.4,560,15.56
20200219,380.5,106.8,2925.0,121.3,68.48,897.25,15.58,565.25,14.38
20200218,383,106.55,2900.0,121.425,67.87,892.25,15.28,566.75,14.83
20200214,377.75,109.1,2904.0,120.825,67.41,893.75,15.06,542.75,13.68
20200213,379.5,104.45,2988.0,119.45,67.75,896.25,15.16,544.25,14.15
20200212,383,100.65,2904.0,118.95,68.58,892.5,15.78,547.5,13.74
20200211,379.75,100.5,2918.0,119.075,68.23,884.75,15.41,542,15.18
20200210,381.75,100.3,2940.0,120.3,68.19,884.25,15.04,552,15.04
20200207,383.5,98.35,2900.0,121.325,67.75,882,14.92,558.75,15.47
20200206,379.25,98.15,2849.0,121.125,67.91,881,14.74,556.25,14.96
20200205,380.75,97.75,2790.0,120.75,67.51,880,14.73,562,15.15
20200204,382.25,98.15,2757.0,121.625,67.35,879.5,14.71,557.25,16.05
20200203,378.75,97.9,2734.0,121.675,66.84,877,14.89,555.5,17.97
20200131,381.25,102.65,2777.0,121.375,67.5,872.5,14.61,553.75,18.84
20200130,379.5,101.5,2801.0,121.775,69.05,876.25,14.59,560.5,15.49
20200129,384.25,102.05,2727.0,121.75,70.06,893,14.49,562.25,16.39
20200128,386.5,105.05,2703.0,122.15,70.36,895,14.54,569.75,16.28
20200127,380.5,106.6,2734.0,122.25,69.51,897.25,14.21,572.25,18.23
20200124,387.25,110.15,2733.0,124.85,69.4,902,14.39,573.5,14.56
20200123,393.75,112.6,2771.0,124.675,70.03,909.5,14.57,580.5,12.98
20200122,388.75,111.0,2803.0,126.175,71.13,913.75,14.66,577.75,12.91
20200121,387.5,111.05,2818.0,126.375,69.24,916,14.55,581.5,12.85
20200117,389.25,112.15,2797.0,126.35,71.25,929.75,14.45,570.5,12.1
20200116,375.5,112.95,2712.0,126.125,70.22,924,14.43,565.25,12.32
20200115,387.5,114.3,2689.0,126.6,70.32,928.75,14.52,573.25,12.42
20200114,389,114.9,2655.0,126.85,71.38,928.5,14.32,568.5,12.39
20200113,389.5,114.55,2583.0,126.55,71.53,929.25,14.16,562.25,12.32
