Date,US High Yied,US Investment Grade,Emerging Investment Grade,Emerging High Yield OAS,Emerging Investment Grade OAS,US High Yield OAS,US Investment Grade OAS,US 10 Year -2 Year Gov Spread
20200204,2188.97,204.39,526.844,6.39,1.36,3.72,1.1,18.4134
20200203,2184.9099,205.32,528.2544,6.55,1.4,3.83,1.13,16.8204
20200131,2183.3501,205.17,528.2468,6.53,1.4,3.9,1.13,18.7634
20200130,2183.6799,204.89,527.2715,6.48,1.39,3.82,1.11,16.8845
20200129,2187.2,204.86,526.5925,6.38,1.38,3.71,1.09,16.5184
20200128,2185.49,204.13,525.3831,6.33,1.36,3.71,1.09,18.9725
20200127,2177.74,204.46,525.1157,6.39,1.39,3.85,1.1,16.3051
20200124,2188.95,204.1,524.37,6.22,1.34,3.56,1.04,18.5442
20200123,2193.21,203.44,523.5853,6.14,1.32,3.4,1.04,21.671999999999997
20200122,2197.1599,203.22,523.2965,6.07,1.29,3.32,1.02,23.875
20200121,2198.0801,202.97,522.9241,6.05,1.3,3.2,1.02,23.9739
20200117,2198.28,201.96,521.7468,5.94,1.27,3.2,1.02,26.0172
20200116,2198.26,201.99,522.0543,5.97,1.28,3.19,1.05,23.9621
20200115,2196.97,202.06,521.7747,6.02,1.3,3.22,1.06,22.7295
20200114,2195.73,201.62,520.898,6.03,1.3,3.22,1.06,23.682
20200113,2194.4299,201.31,520.3371,5.89,1.29,3.15,1.05,25.752
20200110,2192.25,201.58,520.3408,6.02,1.3,3.27,1.05,24.7396
20200109,2190.6899,200.83,519.7781,5.97,1.3,3.31,1.06,27.2005
20200108,2189.8899,200.22,519.4893,6.03,1.29,3.29,1.07,28.5419
20200107,2189.74,200.86,519.8331,6.11,1.32,3.32,1.08,27.3325
20200106,2188.45,201.22,519.6487,6.16,1.34,3.29,1.07,26.2463
20200103,2187.1499,201.81,519.8104,6.15,1.35,3.35,1.05,25.7481
20200102,2185.3301,200.83,518.5089,6.04,1.31,3.31,1.03,30.6124
20191231,2182.77,200.47,518.2479,6.1,1.29,3.36,1.01,34.4416
20191230,2182.4299,200.73,518.44,6.11,1.31,3.3,1.02,30.7538
20191227,2182.6299,200.96,518.5014,6.0,1.31,3.3,1.02,29.0069
20191226,2181.45,200.39,517.7055,6.01,1.3,3.24,1.03,25.9439
20191224,2180.3999,200.32,517.9283,6.04,1.29,3.26,1.03,27.4631
20191223,2180.3601,199.91,517.3531,6.07,1.28,3.17,1.03,27.3012
20191220,2178.6101,200.12,517.3977,6.1,1.29,3.24,1.03,28.5606
20191219,2177.8899,200.15,517.4388,6.14,1.29,3.26,1.03,28.9518
20191218,2177.1399,199.8,517.5536,6.13,1.28,3.22,1.04,28.4095
20191217,2172.6001,200.05,517.6997,6.22,1.3,3.26,1.05,25.3614
20191216,2167.95,199.94,517.0582,6.31,1.31,3.26,1.06,23.8893
20191213,2163.8101,200.61,517.373,6.38,1.35,3.38,1.07,21.2747
20191212,2159.26,199.25,515.8888,6.38,1.32,3.39,1.08,22.9928
20191211,2154.6699,200.53,516.7499,6.54,1.38,3.53,1.11,17.1944
20191210,2152.3701,199.93,515.7064,6.53,1.37,3.51,1.1,18.7892
20191209,2149.74,199.87,515.3267,6.54,1.38,3.5,1.11,20.1946
20191206,2147.5701,199.49,514.5698,6.58,1.39,3.6,1.11,21.7401
20191205,2143.1599,199.78,514.9238,6.64,1.41,3.72,1.13,21.3949
20191204,2140.9099,199.77,514.7475,6.66,1.43,3.78,1.15,19.5883
20191203,2136.6001,200.53,515.3199,6.76,1.47,3.91,1.17,17.3653
20191202,2138.1699,198.86,513.6024,6.6,1.41,3.75,1.16,21.2907
20191129,2139.99,199.83,515.0875,6.68,1.42,3.7,1.15,15.9884
20191127,2139.3501,199.85,514.8139,6.63,1.43,3.73,1.15,13.7546
20191126,2137.1201,200.05,515.1527,6.65,1.45,3.81,1.16,15.5532
20191125,2134.24,199.5,514.4863,6.65,1.43,3.76,1.17,13.7589
20191122,2130.95,199.07,513.9549,6.64,1.44,3.91,1.18,14.0805
20191121,2129.48,198.89,513.6692,6.66,1.44,3.96,1.2,16.3603
20191120,2130.3401,199.4,513.6738,6.69,1.47,3.97,1.19,16.5054
20191119,2132.75,198.96,512.7212,6.63,1.45,3.92,1.17,18.4438
20191118,2135.5701,198.6,512.7172,6.55,1.43,3.81,1.16,21.5198
20191115,2135.8701,198.25,512.2488,6.42,1.43,3.79,1.17,21.8564
20191114,2134.8601,198.47,512.4283,6.43,1.43,3.82,1.16,22.4904
20191113,2135.9399,197.78,511.24,6.42,1.41,3.77,1.15,24.3908
20191112,2137.76,197.34,510.8394,6.34,1.39,3.62,1.14,27.0397
20191108,2136.99,196.89,510.3853,6.27,1.38,3.69,1.15,26.1338
20191107,2138.6699,197.0,510.6301,6.25,1.38,3.63,1.15,24.3977
20191106,2137.9399,198.22,512.3979,6.35,1.43,3.75,1.17,21.569000000000003
20191105,2139.47,197.42,511.5286,6.39,1.41,3.7,1.18,22.781999999999996
20191104,2140.4399,198.36,513.3686,6.42,1.43,3.61,1.19,19.078
20191101,2135.5701,198.98,514.2596,6.5,1.46,3.85,1.21,15.4227
20191031,2133.02,199.33,514.2703,6.57,1.48,3.92,1.21,16.3084
20191030,2136.2,198.07,512.2882,6.49,1.44,3.74,1.2,16.9899
20191029,2139.04,197.64,512.1041,6.41,1.4,3.63,1.17,19.0964
20191028,2139.4199,197.45,511.7781,6.39,1.4,3.54,1.16,19.6445
20191025,2138.3301,197.88,512.4136,6.4,1.42,3.6,1.19,17.0701
20191024,2135.6799,198.13,512.821,6.44,1.44,3.72,1.21,18.635
20191023,2134.6299,198.13,512.8861,6.47,1.44,3.75,1.21,17.8579
20191022,2133.5601,198.15,512.8414,6.48,1.44,3.77,1.21,16.2182
20191021,2133.3799,197.62,511.9142,6.48,1.44,3.7,1.21,17.7988
20191018,2131.8101,197.9,512.3945,6.56,1.46,3.83,1.23,17.5889
20191017,2131.52,197.73,512.1762,6.54,1.46,3.8,1.24,14.7779
20191016,2129.77,197.68,512.4490000000001,6.58,1.46,3.79,1.26,15.198
20191015,2128.05,197.39,512.06,6.52,1.46,3.73,1.26,14.6842
20191011,2123.47,197.25,511.3731,6.51,1.47,3.9,1.27,12.9471
20191010,2118.76,197.91,512.5897,6.62,1.52,4.07,1.32,12.1713
20191009,2117.8,198.73,513.7498,6.71,1.56,4.13,1.33,11.5982
20191008,2116.04,199.27,514.5363,6.73,1.58,4.18,1.35,10.5441
20191007,2118.99,199.28,514.5512,6.67,1.56,4.09,1.33,9.2216
20191004,2116.98,199.78,514.9103,6.72,1.59,4.19,1.33,11.9303
20191003,2114.6499,199.42,513.6154,6.76,1.6,4.2,1.34,14.2067
20191002,2116.97,198.66,512.2682,6.6,1.57,4.09,1.32,11.9157
20191001,2125.47,198.52,512.241,6.56,1.53,3.86,1.29,8.7357
20190930,2127.1499,198.13,512.0241,6.51,1.49,3.73,1.28,3.8837
20190927,2127.3601,198.03,512.0295,6.52,1.48,3.77,1.28,4.8278
20190926,2129.51,197.93,511.7745,6.54,1.47,3.73,1.28,3.4643
20190925,2130.8301,197.2,511.2286,6.52,1.45,3.7,1.28,5.3963
20190924,2134.03,198.69,513.1732,6.54,1.47,3.7,1.27,1.5794
20190923,2134.8301,197.85,512.9581,6.45,1.42,3.6,1.25,4.1394
20190920,2134.0901,197.14,512.0244,6.37,1.41,3.59,1.27,3.2297
20190919,2133.8501,196.76,511.0939,6.37,1.4,3.55,1.26,4.2071
20190918,2133.22,196.27,510.3789,6.31,1.4,3.56,1.27,2.9904
20190917,2134.04,195.77,509.36199999999997,6.37,1.42,3.6,1.29,7.2386
20190916,2133.8799,195.43,508.8902,6.36,1.4,3.56,1.28,8.327
20190913,2129.21,194.51,508.5013,6.3,1.35,3.61,1.28,9.1781
20190912,2130.3799,195.91,511.3535,6.31,1.37,3.65,1.29,5.0247
20190911,2129.21,196.51,511.5323,6.38,1.41,3.72,1.3,6.2281
20190910,2129.6499,196.8,512.2908,6.39,1.42,3.68,1.31,5.1512
20190909,2127.6599,198.05,513.9552,6.42,1.45,3.72,1.31,4.8949
20190906,2125.1499,198.94,515.1733,6.54,1.48,3.85,1.32,1.3906
20190905,2122.72,198.44,515.4722,6.52,1.45,3.88,1.33,2.8494
20190904,2119.6699,199.82,517.1457,6.69,1.51,4.06,1.35,3.1781
20190903,2116.8401,199.7,516.3552,6.78,1.51,3.96,1.35,0.3348
20190902,2119.4299,199.42,515.1198,6.75,1.52,3.94,1.34,-0.5282
20190830,2119.4299,199.42,515.1198,6.81,1.51,3.93,1.33,-1.3912
20190829,2118.6101,199.32,514.4042,6.76,1.51,3.92,1.32,-2.9452
20190828,2115.8501,199.91,514.0007,6.74,1.55,3.99,1.33,-2.6563
20190827,2113.99,199.72,512.6183,6.67,1.56,4.01,1.31,-5.3309
20190826,2111.76,198.82,511.1528,6.58,1.55,4.0,1.31,-0.6097
20190823,2109.0801,199.14,511.3824,6.53,1.56,4.07,1.31,-0.0196
20190822,2110.8999,198.07,510.0543,6.43,1.53,3.93,1.3,-0.1031
20190821,2107.72,198.46,510.1226,6.57,1.56,3.97,1.31,0.9832
20190820,2101.4299,198.31,510.2544,6.65,1.58,4.22,1.35,3.9446
20190819,2099.25,197.62,509.6754,6.59,1.55,4.18,1.34,5.9
20190816,2093.9299,198.28,510.8297,6.56,1.58,4.37,1.37,7.3425
20190815,2090.3201,198.33,510.2667,6.6,1.59,4.44,1.38,2.3103
20190814,2090.5601,197.81,509.0227,6.55,1.57,4.39,1.37,0.0101
20190813,2099.73,196.82,506.8095,6.34,1.56,4.09,1.34,3.2861
20190812,2096.3601,197.29,506.9092,6.23,1.58,4.24,1.34,5.7713
20190809,2097.5701,195.95,505.9433,5.6,1.53,4.15,1.33,9.4061
20190808,2097.71,196.18,505.8712,5.64,1.55,4.16,1.32,9.4355
20190807,2088.3701,196.32,505.1474,5.74,1.6,4.4,1.36,12.5263
20190806,2092.71,195.78,502.8022,5.71,1.6,4.31,1.32,11.5217
20190805,2089.5601,195.58,502.751,5.69,1.59,4.37,1.32,13.2237
20190802,2104.1299,194.87,501.8144,5.43,1.51,3.97,1.25,13.1365
20190801,2109.3999,194.74,501.1899,5.33,1.5,3.88,1.22,15.7511
20190731,2110.98,193.34,499.7825,5.15,1.41,3.71,1.19,14.0295
20190730,2109.4299,192.82,499.0427,5.16,1.42,3.71,1.19,21.0036
20190729,2111.24,193.06,499.1834,5.17,1.42,3.67,1.18,20.1077
20190726,2110.6499,192.71,498.5558,5.15,1.41,3.64,1.18,21.4391
20190725,2108.26,192.64,498.6855,5.16,1.41,3.67,1.18,21.3072
20190724,2107.46,192.83,498.6301,5.19,1.44,3.72,1.2,22.2861
20190723,2104.79,192.38,497.7482,5.17,1.44,3.75,1.21,24.1684
20190722,2102.22,192.58,497.7653,5.23,1.47,3.79,1.22,23.2031
20190719,2100.3101,192.33,497.4241,5.23,1.47,3.84,1.23,23.0741
20190718,2100.03,192.31,497.3717,5.26,1.48,3.86,1.25,26.6251
20190717,2103.6799,192.1,497.2903,5.2,1.46,3.77,1.24,22.9912
20190716,2104.97,191.32,496.6366,5.16,1.43,3.71,1.23,25.0754
20190715,2105.26,191.67,496.9291,5.18,1.44,3.71,1.23,25.7654
20190712,2103.46,191.4,496.2689,5.19,1.44,3.71,1.23,27.2735
20190711,2103.1399,191.19,496.0173,5.16,1.44,3.73,1.23,27.1203
20190710,2104.27,191.86,496.5498,5.21,1.47,3.72,1.24,23.1574
20190709,2101.75,191.99,496.6513,5.18,1.45,3.74,1.24,15.4111
20190708,2104.05,192.36,497.3596,5.19,1.46,3.68,1.23,15.5515
20190705,2104.6201,192.11,496.9243,5.12,1.46,3.66,1.23,16.846
20190703,2105.2,193.32,498.0364,5.2,1.51,3.71,1.23,18.4138
20190702,2103.0801,192.88,497.2233,5.22,1.51,3.76,1.23,20.8707
