index,a,b,Real,Predict
0,0.008749043,0.005151659,TRUE,TRUE
1,0.001079238,0.005026277,FALSE,TRUE
2,0.001028136,0.005030989,FALSE,TRUE
3,0.003973699,0.004069623,FALSE,FALSE
4,0.002160513,0.003564436,FALSE,FALSE
5,0.003952993,0.002937,FALSE,FALSE
6,0.000948448,0.002791766,FALSE,FALSE
7,0.001838049,0.00309764,FALSE,FALSE
8,0.004780911,0.003338429,FALSE,FALSE
9,0.009101605,0.003566186,TRUE,FALSE
10,0.003032296,0.003654667,FALSE,FALSE
11,0.006562209,0.003742294,TRUE,FALSE
12,0.005754171,0.003809305,TRUE,FALSE
13,0.004884729,0.004157105,FALSE,FALSE
14,0.001040352,0.003990252,FALSE,FALSE
15,0.004926445,0.003671547,FALSE,FALSE
16,0.004644183,0.003369093,FALSE,FALSE
17,0.003538227,0.003411057,FALSE,FALSE
18,0.002824182,0.003419345,FALSE,FALSE
19,0.00026238,0.003591357,FALSE,FALSE
20,0.001441674,0.003486841,FALSE,FALSE
21,0.007113888,0.003492504,TRUE,FALSE
22,0.004005992,0.003793188,FALSE,FALSE
23,0.006389255,0.003947655,TRUE,FALSE
24,0.007602165,0.003832056,TRUE,FALSE
25,0.007919408,0.003968596,TRUE,FALSE
26,0.003323116,0.004040416,FALSE,FALSE
27,0.002428018,0.003849205,FALSE,FALSE
28,0.002068536,0.003612132,FALSE,FALSE
29,0.000398152,0.003457313,FALSE,FALSE
30,0.001691262,0.003398663,FALSE,FALSE
31,0.00619884,0.00332639,TRUE,FALSE
32,0.00767041,0.003372369,TRUE,FALSE
33,0.000269279,0.003716359,FALSE,FALSE
34,0.005701434,0.003971324,TRUE,FALSE
35,0.004430329,0.004090049,FALSE,FALSE
36,0.000134478,0.003890988,FALSE,FALSE
37,0.001654322,0.003548802,FALSE,FALSE
38,0.002803127,0.00334615,FALSE,FALSE
39,0.003652305,0.002831712,FALSE,FALSE
40,0.002213345,0.00249292,FALSE,FALSE
41,0.001897827,0.002489762,FALSE,FALSE
42,0.003739842,0.002593078,FALSE,FALSE
43,0.000356672,0.002856934,FALSE,FALSE
44,0.005282254,0.003066816,TRUE,FALSE
45,0.000275482,0.003298199,FALSE,FALSE
46,0.005569722,0.00330385,TRUE,FALSE
47,0.005369014,0.003045229,TRUE,FALSE
48,0.001253273,0.003132551,FALSE,FALSE
49,0.007840592,0.002996358,TRUE,FALSE
50,0.000368533,0.003164852,FALSE,FALSE
51,0.003515688,0.003315144,FALSE,FALSE
52,0.001305096,0.003368813,FALSE,FALSE
53,0.003289278,0.003405652,FALSE,FALSE
54,0.002763287,0.003289708,FALSE,FALSE
55,6.87E-06,0.003166565,FALSE,FALSE
56,0.003641105,0.00312905,FALSE,FALSE
57,0.00039669,0.003093927,FALSE,FALSE
58,0.00071152,0.003061576,FALSE,FALSE
59,0.008169482,0.002950505,TRUE,FALSE
60,0.005527979,0.003294095,TRUE,FALSE
61,0.000395116,0.003618246,FALSE,FALSE
62,0.001417904,0.003427764,FALSE,FALSE
63,0.032864228,0.003355985,TRUE,FALSE
64,0.020573007,0.00603591,TRUE,TRUE
65,0.014206198,0.008084742,TRUE,TRUE
66,0.005904979,0.009150395,TRUE,TRUE
67,0.021495601,0.009184121,TRUE,TRUE
68,0.000252662,0.00903695,FALSE,TRUE
69,0.014391922,0.008755521,TRUE,TRUE
70,0.00036117,0.007994199,FALSE,TRUE
71,0.004299528,0.007440307,FALSE,TRUE
72,0.00551183,0.007063563,TRUE,TRUE
73,0.030864434,0.007083261,TRUE,TRUE
74,0.01862504,0.007292504,TRUE,TRUE
75,0.017327264,0.0084821,TRUE,TRUE
76,0.006559599,0.009258733,TRUE,TRUE
77,0.015666781,0.01023047,TRUE,TRUE
78,0.010851332,0.009707132,TRUE,TRUE
79,0.010557843,0.009277238,TRUE,TRUE
80,0.006316686,0.008792981,TRUE,TRUE
81,0.005600317,0.008757033,TRUE,TRUE
82,0.006259296,0.008279997,TRUE,TRUE
83,0.021208856,0.00823396,TRUE,TRUE
84,0.002508917,0.008534331,FALSE,TRUE
85,0.009199014,0.008866905,TRUE,TRUE
86,0.01970149,0.009260509,TRUE,TRUE
87,0.00148192,0.009896332,FALSE,TRUE
88,0.007567411,0.009171152,TRUE,TRUE
89,0.010593753,0.008232315,TRUE,TRUE
90,0.002223306,0.007351846,FALSE,TRUE
91,0.016643109,0.006730516,TRUE,TRUE
92,0.01815124,0.007067252,TRUE,TRUE
93,0.003043291,0.007498484,FALSE,TRUE
94,0.006554843,0.007751083,TRUE,TRUE
95,0.015532369,0.007856475,TRUE,TRUE
96,0.003261692,0.008243489,FALSE,TRUE
97,0.022973979,0.008326204,TRUE,TRUE
98,0.002183108,0.008605581,FALSE,TRUE
99,0.008170747,0.008514615,TRUE,TRUE
100,0.010941426,0.008489669,TRUE,TRUE
101,0.0323649,0.007797314,TRUE,TRUE
102,0.001522228,0.008674558,FALSE,TRUE
103,0.023320118,0.009201982,TRUE,TRUE
104,0.001762154,0.009777207,FALSE,TRUE
105,0.000356346,0.010073382,FALSE,TRUE
106,0.005419503,0.00959516,TRUE,TRUE
107,0.00019993,0.009094559,FALSE,TRUE
108,0.019086707,0.008589931,TRUE,TRUE
109,0.020773482,0.008796843,TRUE,TRUE
110,8.64E-05,0.009044464,FALSE,TRUE
111,0.015395715,0.009328086,TRUE,TRUE
112,0.015772106,0.008446217,TRUE,TRUE
113,0.020588228,0.008228825,TRUE,TRUE
114,0.027112255,0.00790261,TRUE,TRUE
115,0.049593743,0.007853393,TRUE,TRUE
116,0.008562681,0.010588157,TRUE,TRUE
117,0.001241583,0.012497723,FALSE,TRUE
118,0.008492485,0.012982331,TRUE,TRUE
119,0.001268497,0.012920111,FALSE,TRUE
120,0.02475673,0.012190065,TRUE,TRUE
121,0.034335714,0.012121713,TRUE,TRUE
122,0.007010435,0.012924898,TRUE,TRUE
123,0.009695285,0.013019863,TRUE,TRUE
124,0.004098046,0.012960558,FALSE,TRUE
